"","Week","Pos","Team","fdsal_weighted","fdpts_sum"
"1",1,"QB","ari",7681.52173310492,27.6
"2",1,"QB","atl",7800,24.9
"3",1,"QB","bal",9269.09220735524,27.76
"4",1,"QB","buf",7900,28.18
"5",1,"QB","car",6800,19.4
"6",1,"QB","chi",6900,24.28
"7",1,"QB","cin",6600,17.32
"8",1,"QB","cle",7000,10.86
"9",1,"QB","dal",8400,17.64
"10",1,"QB","den",6700,13.14
"11",1,"QB","det",7300,17.18
"12",1,"QB","gnb",7610.47119888435,30.56
"13",1,"QB","hou",8200,21.82
"14",1,"QB","ind",7199.99999286564,16.82
"15",1,"QB","jac",6700,20.82
"16",1,"QB","kan",9500,20.44
"17",1,"QB","lac",7000,9.02
"18",1,"QB","lar",7400,11.5
"19",1,"QB","lvr",7100,13.56
"20",1,"QB","mia",6399.99999763033,8.44
"21",1,"QB","min",7200,22.76
"22",1,"QB","nor",8100,14.4
"23",1,"QB","nwe",7399.99999455253,25.7
"24",1,"QB","nyg",7200,19.36
"25",1,"QB","nyj",6800,12.2
"26",1,"QB","phi",7700,15
"27",1,"QB","pit",7800,22.06
"28",1,"QB","sea",8400,31.78
"29",1,"QB","sfo",7300,19.26
"30",1,"QB","tam",7500,22.46
"31",1,"QB","ten",7000,19.36
"32",1,"QB","was",6500,12.82
"33",1,"RB","ari",5847.05881787774,25.5
"34",1,"RB","atl",6452.80896342002,17.8
"35",1,"RB","bal",5509.60451729707,17.7
"36",1,"RB","buf",5449.99999583333,18
"37",1,"RB","car",9979.62956919067,27
"38",1,"RB","chi",5606.61763808932,13.6
"39",1,"RB","cin",6146.15382847633,10.4
"40",1,"RB","cle",6278.34393048805,15.7
"41",1,"RB","dal",8202.63157037743,30.4
"42",1,"RB","den",6223.23231429446,19.8
"43",1,"RB","det",5129.0456422565,24.1
"44",1,"RB","gnb",6447.68681925001,28.1
"45",1,"RB","hou",6236.36362369146,19.8
"46",1,"RB","ind",5213.94799064825,42.3
"47",1,"RB","jac",4557.65766022238,11.1
"48",1,"RB","kan",6744.16664176389,24
"49",1,"RB","lac",5862.96295884774,21.6
"50",1,"RB","lar",5132.44147358754,29.9
"51",1,"RB","lvr",7474.17838545372,42.6
"52",1,"RB","mia",4988.65979152939,19.4
"53",1,"RB","min",7485.94245996897,31.3
"54",1,"RB","nor",7757.81246667481,25.6
"55",1,"RB","nwe",5436.90986358563,23.3
"56",1,"RB","nyg",8226.72405080262,11.6
"57",1,"RB","nyj",5193.02325709843,17.2
"58",1,"RB","phi",4766.6666625,9.6
"59",1,"RB","pit",5006.7567606282,14.8
"60",1,"RB","sea",6506.41024126397,31.2
"61",1,"RB","sfo",5619.4444391268,43.2
"62",1,"RB","tam",5911.38211516954,12.3
"63",1,"RB","ten",8149.99993141026,15.6
"64",1,"RB","was",4815.94202730519,20.7
"65",1,"TE","ari",4200.00000645161,3.1
"66",1,"TE","atl",5299.99997924528,5.3
"67",1,"TE","bal",7231.48147007888,21.6
"68",1,"TE","buf",4699.99998888889,3.6
